id,pos_x,pos_y,pos_z,activation_time,connection_interval,total_energy_consumption,lora_energy_consumption,ble_energy_consumption
1276,136.969,34.9475,1,0.000000,600.000000,1.220873,1.220873,0.000000
1275,136.963645,34.943958,1.000000,0.000000,600.000000,1.220873,1.220873,0.000000
1274,136.962276,34.942467,1.000000,0.000000,600.000000,1.220873,1.220873,0.000000
1273,136.962988,34.942432,1.000000,0.000000,600.000000,1.220873,1.220873,0.000000
1272,136.963179,34.940918,1.000000,7560.000000,600.000000,1.156309,1.156309,0.000000
1271,136.963178,34.940918,1.000000,7560.000000,600.000000,1.156309,1.156309,0.000000
1270,136.962352,34.940336,1.000000,7550.000000,600.000000,1.156260,1.156260,0.000000
1269,136.962351,34.940336,1.000000,7550.000000,600.000000,1.157953,1.157953,0.000000
1268,136.961761,34.941157,1.000000,0.000000,600.000000,1.220873,1.220873,0.000000
1267,136.961768,34.940082,1.000000,0.000000,600.000000,1.220873,1.220873,0.000000
1266,136.961483,34.940500,1.000000,7520.000000,600.000000,1.156111,1.156111,0.000000
1265,136.961482,34.940500,1.000000,7520.000000,600.000000,1.157804,1.157804,0.000000
1264,136.960173,34.940300,1.000000,0.000000,600.000000,1.220873,1.220873,0.000000
1263,136.960612,34.941112,1.000000,7500.000000,600.000000,1.158189,1.158189,0.000000
1262,136.960611,34.941112,1.000000,7500.000000,600.000000,1.156496,1.156496,0.000000
1261,136.958765,34.940947,1.000000,0.000000,600.000000,1.220873,1.220873,0.000000
1260,136.952865,34.943141,1.000000,7480.000000,600.000000,1.155913,1.155913,0.000000
1259,136.952864,34.943141,1.000000,7480.000000,600.000000,1.155913,1.155913,0.000000
1258,136.959416,34.943829,1.000000,7470.000000,600.000000,1.155864,1.155864,0.000000
1257,136.959415,34.943829,1.000000,7470.000000,600.000000,1.155864,1.155864,0.000000
1256,136.961494,34.945194,1.000000,7460.000000,600.000000,1.155814,1.155814,0.000000
1255,136.961493,34.945194,1.000000,7460.000000,600.000000,1.155814,1.155814,0.000000
1254,136.962643,34.944948,1.000000,0.000000,600.000000,1.220873,1.220873,0.000000
1253,136.963908,34.945284,1.000000,0.000000,600.000000,1.220873,1.220873,0.000000
1252,136.964407,34.946523,1.000000,0.000000,600.000000,1.220873,1.220873,0.000000
1251,136.963205,34.947530,1.000000,0.000000,600.000000,1.220873,1.220873,0.000000
1250,136.962774,34.946443,1.000000,7410.000000,600.000000,1.155567,1.155567,0.000000
1249,136.962773,34.946443,1.000000,7410.000000,600.000000,1.155567,1.155567,0.000000
1248,136.962600,34.946742,1.000000,0.000000,600.000000,1.220873,1.220873,0.000000
1247,136.961868,34.947827,1.000000,0.000000,600.000000,1.220873,1.220873,0.000000
1246,136.961525,34.948448,1.000000,7380.000000,600.000000,1.155418,1.155418,0.000000
1245,136.961524,34.948448,1.000000,7380.000000,600.000000,1.155418,1.155418,0.000000
1244,136.962879,34.948206,1.000000,7370.000000,600.000000,1.155369,1.155369,0.000000
1243,136.962878,34.948206,1.000000,7370.000000,600.000000,1.155369,1.155369,0.000000
1242,136.963336,34.948453,1.000000,7360.000000,600.000000,1.155319,1.155319,0.000000
1241,136.963335,34.948453,1.000000,7360.000000,600.000000,1.155319,1.155319,0.000000
1240,136.972015,34.939078,1.000000,7350.000000,600.000000,1.155270,1.155270,0.000000
1239,136.972014,34.939078,1.000000,7350.000000,600.000000,1.155270,1.155270,0.000000
1238,136.964155,34.944973,1.000000,0.000000,600.000000,1.220873,1.220873,0.000000
1237,136.966563,34.943299,1.000000,7330.000000,600.000000,1.155171,1.155171,0.000000
1236,136.966562,34.943299,1.000000,7330.000000,600.000000,1.155171,1.155171,0.000000
1235,136.967064,34.943798,1.000000,7320.000000,600.000000,1.155605,1.155605,0.000000
1234,136.967063,34.943798,1.000000,7320.000000,600.000000,1.160684,1.160684,0.000000
1233,136.967507,34.944252,1.000000,0.000000,600.000000,1.220873,1.220873,0.000000
1232,136.968155,34.944951,1.000000,0.000000,600.000000,1.220873,1.220873,0.000000
1231,136.967309,34.945984,1.000000,7290.000000,600.000000,1.154973,1.154973,0.000000
1230,136.967308,34.945984,1.000000,7290.000000,600.000000,1.154973,1.154973,0.000000
1229,136.967741,34.948097,1.000000,7280.000000,600.000000,1.154923,1.154923,0.000000
1228,136.967740,34.948097,1.000000,7280.000000,600.000000,1.154923,1.154923,0.000000
1227,136.967766,34.948976,1.000000,0.000000,600.000000,1.220873,1.220873,0.000000
1226,136.969193,34.946870,1.000000,0.000000,600.000000,1.220873,1.220873,0.000000
1225,136.969296,34.947754,1.000000,7250.000000,600.000000,1.154775,1.154775,0.000000
1224,136.969295,34.947754,1.000000,7250.000000,600.000000,1.154775,1.154775,0.000000
