id,pos_x,pos_y,pos_z,lora_network_addr,ble_network_addr,activation_time,connection_interval,total_energy_consumption,lora_energy_consumption,ble_energy_consumption,cnt_leader,lora_send,lora_receive,ble_send,ble_receive
32,34.997,136.968,1,1896,00:21,320.000000,600.000000,0.289672,0.182872,0.106800,9,9,9,100,78
31,34.997558,136.968301,1.000000,1895,00:20,310.000000,600.000000,0.318131,0.181331,0.136800,15,15,13,131,97
30,34.997258,136.968301,1.000000,1894,00:1f,300.000000,600.000000,0.290343,0.165543,0.124800,13,13,11,118,90
29,34.995360,136.966875,1.000000,1893,00:1e,290.000000,600.000000,0.306469,0.170269,0.136200,13,13,12,134,93
28,34.995960,136.966875,1.000000,1892,00:1d,280.000000,600.000000,0.330106,0.186106,0.144000,15,15,14,139,101
27,34.995660,136.966875,1.000000,1891,00:1c,270.000000,600.000000,0.310669,0.170269,0.140400,13,13,12,135,99
26,34.990529,136.968657,1.000000,1890,00:1b,260.000000,600.000000,0.202784,0.202784,0.000000,0,24,24,0,0
25,34.993019,136.970236,1.000000,1889,00:1a,250.000000,600.000000,0.290596,0.165196,0.125400,12,12,12,117,92
24,34.993619,136.970236,1.000000,1888,00:19,240.000000,600.000000,0.281075,0.162275,0.118800,12,12,12,115,83
23,34.993319,136.970236,1.000000,1887,00:18,230.000000,600.000000,0.299140,0.173140,0.126000,13,13,13,114,96
22,34.992696,136.966654,1.000000,1886,00:17,220.000000,600.000000,0.274753,0.157153,0.117600,11,11,11,113,83
21,34.993296,136.966654,1.000000,1885,00:16,210.000000,600.000000,0.265134,0.154134,0.111000,11,11,11,118,67
20,34.992996,136.966654,1.000000,1884,00:15,200.000000,600.000000,0.277704,0.157104,0.120600,11,11,11,110,91
19,34.990931,136.966164,1.000000,1883,00:14,190.000000,600.000000,0.313937,0.180737,0.133200,14,14,14,109,113
18,34.991531,136.966164,1.000000,1882,00:13,180.000000,600.000000,0.322431,0.188631,0.133800,15,15,15,136,87
17,34.991231,136.966164,1.000000,1881,00:12,170.000000,600.000000,0.305993,0.172793,0.133200,13,13,13,131,91
16,34.991376,136.967828,1.000000,1880,00:11,160.000000,600.000000,0.199830,0.110430,0.089400,7,7,7,95,54
5,34.997334,136.967603,1.000000,1869,00:06,50.000000,600.000000,0.305900,0.172100,0.133800,13,13,11,124,99
4,34.997934,136.967603,1.000000,1868,00:05,40.000000,600.000000,0.293807,0.164207,0.129600,12,12,12,121,95
3,34.997634,136.967603,1.000000,1867,00:04,30.000000,600.000000,0.293980,0.169180,0.124800,13,13,13,114,94
2,34.994444,136.971769,1.000000,1866,00:03,20.000000,600.000000,0.339570,0.184770,0.154800,15,15,13,152,106
0,34.994744,136.971769,1.000000,1864,00:01,0.000000,600.000000,0.356434,0.195634,0.160800,17,17,14,145,123
1,34.995044,136.971769,1.000000,1865,00:02,10.000000,600.000000,0.346235,0.195635,0.150600,16,16,14,147,104
6,34.994912,136.967521,1.000000,1870,00:07,60.000000,600.000000,0.258996,0.145596,0.113400,10,10,10,107,82
7,34.995212,136.967521,1.000000,1871,00:08,70.000000,600.000000,0.269860,0.156460,0.113400,11,11,11,119,70
8,34.994612,136.967521,1.000000,1872,00:09,80.000000,600.000000,0.238552,0.137752,0.100800,9,9,9,94,74
9,34.994942,136.966953,1.000000,1873,00:0a,90.000000,600.000000,0.201942,0.201942,0.000000,0,24,24,0,0
10,34.994315,136.965640,1.000000,1874,00:0b,100.000000,600.000000,0.201992,0.201992,0.000000,0,24,24,0,0
11,34.993194,136.965682,1.000000,1875,00:0c,110.000000,600.000000,0.245587,0.159187,0.086400,9,9,8,81,63
12,34.993494,136.965682,1.000000,1876,00:0d,120.000000,600.000000,0.238919,0.126119,0.112800,9,9,9,124,64
13,34.992894,136.965682,1.000000,1877,00:0e,130.000000,600.000000,0.268240,0.129040,0.139200,9,9,9,121,111
14,34.991676,136.967828,1.000000,1878,00:0f,140.000000,600.000000,0.216694,0.121294,0.095400,8,8,8,110,49
15,34.991976,136.967828,1.000000,1879,00:10,150.000000,600.000000,0.170966,0.099566,0.071400,6,6,6,68,51
