id,pos_x,pos_y,pos_z,lora_network_addr,ble_network_addr,activation_time,connection_interval,total_energy_consumption,lora_energy_consumption,ble_energy_consumption,cnt_leader,lora_send,lora_receive,ble_send,ble_receive
32,34.997,136.968,1,1896,00:21,320.000000,600.000000,0.014400,0.000000,0.014400,0,0,0,24,0
31,34.997558,136.968301,1.000000,1895,00:20,310.000000,600.000000,0.014400,0.000000,0.014400,0,0,0,24,0
30,34.997258,136.968301,1.000000,1894,00:1f,300.000000,600.000000,0.225969,0.197169,0.028800,16,16,16,0,48
29,34.995360,136.966875,1.000000,1893,00:1e,290.000000,600.000000,0.014400,0.000000,0.014400,0,0,0,24,0
28,34.995960,136.966875,1.000000,1892,00:1d,280.000000,600.000000,0.014400,0.000000,0.014400,0,0,0,24,0
27,34.995660,136.966875,1.000000,1891,00:1c,270.000000,600.000000,0.225820,0.197020,0.028800,16,16,16,0,48
26,34.990529,136.968657,1.000000,1890,00:1b,260.000000,600.000000,0.202784,0.202784,0.000000,0,24,24,0,0
25,34.993019,136.970236,1.000000,1889,00:1a,250.000000,600.000000,0.014400,0.000000,0.014400,0,0,0,24,0
24,34.993619,136.970236,1.000000,1888,00:19,240.000000,600.000000,0.014400,0.000000,0.014400,0,0,0,24,0
23,34.993319,136.970236,1.000000,1887,00:18,230.000000,600.000000,0.225622,0.196822,0.028800,16,16,16,0,48
22,34.992696,136.966654,1.000000,1886,00:17,220.000000,600.000000,0.014400,0.000000,0.014400,0,0,0,24,0
21,34.993296,136.966654,1.000000,1885,00:16,210.000000,600.000000,0.014400,0.000000,0.014400,0,0,0,24,0
20,34.992996,136.966654,1.000000,1884,00:15,200.000000,600.000000,0.225474,0.196674,0.028800,16,16,16,0,48
19,34.990931,136.966164,1.000000,1883,00:14,190.000000,600.000000,0.014400,0.000000,0.014400,0,0,0,24,0
18,34.991531,136.966164,1.000000,1882,00:13,180.000000,600.000000,0.014400,0.000000,0.014400,0,0,0,24,0
17,34.991231,136.966164,1.000000,1881,00:12,170.000000,600.000000,0.225325,0.196525,0.028800,16,16,16,0,48
16,34.991376,136.967828,1.000000,1880,00:11,160.000000,600.000000,0.014400,0.000000,0.014400,0,0,0,24,0
5,34.997334,136.967603,1.000000,1869,00:06,50.000000,600.000000,0.014400,0.000000,0.014400,0,0,0,24,0
4,34.997934,136.967603,1.000000,1868,00:05,40.000000,600.000000,0.014400,0.000000,0.014400,0,0,0,24,0
3,34.997634,136.967603,1.000000,1867,00:04,30.000000,600.000000,0.224632,0.195832,0.028800,16,16,16,0,48
2,34.994444,136.971769,1.000000,1866,00:03,20.000000,600.000000,0.014400,0.000000,0.014400,0,0,0,24,0
0,34.994744,136.971769,1.000000,1864,00:01,0.000000,600.000000,0.224484,0.195684,0.028800,16,16,16,0,48
1,34.995044,136.971769,1.000000,1865,00:02,10.000000,600.000000,0.014400,0.000000,0.014400,0,0,0,24,0
6,34.994912,136.967521,1.000000,1870,00:07,60.000000,600.000000,0.224781,0.195981,0.028800,16,16,16,0,48
7,34.995212,136.967521,1.000000,1871,00:08,70.000000,600.000000,0.014400,0.000000,0.014400,0,0,0,24,0
8,34.994612,136.967521,1.000000,1872,00:09,80.000000,600.000000,0.014400,0.000000,0.014400,0,0,0,24,0
9,34.994942,136.966953,1.000000,1873,00:0a,90.000000,600.000000,0.201942,0.201942,0.000000,0,24,24,0,0
10,34.994315,136.965640,1.000000,1874,00:0b,100.000000,600.000000,0.201992,0.201992,0.000000,0,24,24,0,0
11,34.993194,136.965682,1.000000,1875,00:0c,110.000000,600.000000,0.225028,0.196228,0.028800,16,16,16,0,48
12,34.993494,136.965682,1.000000,1876,00:0d,120.000000,600.000000,0.014400,0.000000,0.014400,0,0,0,24,0
13,34.992894,136.965682,1.000000,1877,00:0e,130.000000,600.000000,0.014400,0.000000,0.014400,0,0,0,24,0
14,34.991676,136.967828,1.000000,1878,00:0f,140.000000,600.000000,0.225177,0.196377,0.028800,16,16,16,0,48
15,34.991976,136.967828,1.000000,1879,00:10,150.000000,600.000000,0.014400,0.000000,0.014400,0,0,0,24,0
